24horas.es -> 24Horas.es | IPTV-EPG España | exact/alias
324es.es -> 324.es | EPGShare ES1 | exact/alias
amc.es -> AMC.es | EPGShare ES1 | exact/alias
amcbreak.es -> AMC.Break.es | EPGShare ES1 | exact/alias
amccrime.es -> AMCCrime.es | IPTV-EPG España | exact/alias
amcliving.es -> AMCLiving.es | IPTV-EPG España | exact/alias
amcselektes.es -> Amc.Selekt.es | EPGShare ES1 | exact/alias
amcwestern.es -> 11281 | IPTV-org Orange TV | exact/alias
andaluciatv.es -> AndaluciaTV.es | IPTV-EPG España | exact/alias
antena3.es -> Antena.3.es | EPGShare ES1 | exact/alias
aragontv.es -> AragonTV.es | IPTV-EPG España | exact/alias
aragóntves.es -> AragonTV.es | IPTV-EPG España | exact/alias
atreseries.es -> Atreseries.es | EPGShare ES1 | exact/alias
axn.es -> AXN.es | EPGShare ES1 | exact/alias
axnmovies.es -> AXN.Movies.es | EPGShare ES1 | exact/alias
axnwhite.es -> AXNWhite.es | IPTV-EPG España | exact/alias
barçatv.es -> BarcaTV.es | IPTV-EPG España | exact/alias
bbcfood.es -> BBC.Food.es | EPGShare ES1 | exact/alias
bbcnews.es -> BBC | IPTV-org Movistar+ | exact/alias
bbcseries.es -> BBC.Series.es | EPGShare ES1 | exact/alias
bemad.es -> Be.Mad.es | EPGShare ES1 | exact/alias
bemadtv.es -> BEMAD | IPTV-org Movistar+ | exact/alias
boing.es -> Boing.es | EPGShare ES1 | exact/alias
bomcine.es -> BOM.Cine.es | EPGShare ES1 | exact/alias
calle13.es -> Calle.13.es | EPGShare ES1 | exact/alias
canalcocina.es -> Canal.Cocina.es | EPGShare ES1 | exact/alias
canaldecasa.es -> Decasa.es | EPGShare ES1 | exact/alias
canaldelasestrellas.es -> CanaldelasEstrellas.es | IPTV-EPG España | exact/alias
canalextremadura.es -> CanalExtremadura.es | IPTV-EPG España | exact/alias
canalextremadurasates.es -> 11211 | IPTV-org Orange TV | exact/alias
canalhistoria.es -> Canal.HISTORIA.es | EPGShare ES1 | exact/alias
canalsur.es -> Canal.Sur.es | EPGShare ES1 | exact/alias
canalsur2.es -> Canal.Sur.2.es | EPGShare ES1 | exact/alias
canalsurandalucia.es -> Canal.Sur.Andalucía.es | EPGShare ES1 | exact/alias
canalsurandalucíaes.es -> ANTV | IPTV-org Movistar+ | exact/alias
cazavisión.es -> Cazavisión.es | EPGShare ES1 | exact/alias
